MODEL SOLUTION,MUTATION,INPUT 1,INPUT 2,EXPECTED RESULT,ACTUAL RESULT
ADD,mutant3,0,6,6,-1
ADD,mutant1,0,6,6,-1
ADD,mutant2,0,6,6,-1
ADD,mutant6,0,8,8,10
ADD,mutant4,0,8,8,-1
ADD,mutant11,0,8,8,0
ADD,mutant9,0,8,8,0
ADD,mutant8,0,8,8,-8
ADD,mutant7,0,8,8,6
ADD,mutant13,0,8,8,-1
ADD,mutant15,0,8,8,0
ADD,mutant21,0,8,8,4194303
ADD,mutant16,0,8,8,0
ADD,mutant12,0,8,8,16
ADD,mutant19,0,8,8,0
ADD,mutant10,0,8,8,0
ADD,mutant14,0,8,8,0
ADD,mutant18,0,8,8,-9
ADD,mutant20,0,8,8,2049
ADD,mutant5,0,8,8,-1
ADD,mutant17,0,8,8,-8
ADD,mutant3,0,8,8,-1
ADD,mutant1,0,8,8,-1
ADD,mutant2,0,8,8,-1
ADD,mutant6,5,3,8,10
ADD,mutant4,5,3,8,0
ADD,mutant11,5,3,8,1
ADD,mutant9,5,3,8,0
ADD,mutant8,5,3,8,-8
ADD,mutant7,5,3,8,6
ADD,mutant13,5,3,8,-1
ADD,mutant15,5,3,8,1
ADD,mutant21,5,3,8,8388607
ADD,mutant16,5,3,8,1
ADD,mutant12,5,3,8,16
ADD,mutant19,5,3,8,2
ADD,mutant10,5,3,8,15
ADD,mutant14,5,3,8,225
ADD,mutant18,5,3,8,-7
ADD,mutant20,5,3,8,184
ADD,mutant5,5,3,8,-1
ADD,mutant17,5,3,8,-2
ADD,mutant3,5,3,8,-1
ADD,mutant1,5,3,8,-1
ADD,mutant2,5,3,8,-1
ADD,mutant6,2,1,3,5
ADD,mutant4,2,1,3,0
ADD,mutant11,2,1,3,2
ADD,mutant9,2,1,3,0
ADD,mutant8,2,1,3,-3
ADD,mutant7,2,1,3,1
ADD,mutant13,2,1,3,-1
ADD,mutant15,2,1,3,2
ADD,mutant21,2,1,3,268435455
ADD,mutant16,2,1,3,0
ADD,mutant12,2,1,3,6
ADD,mutant19,2,1,3,0
ADD,mutant10,2,1,3,2
ADD,mutant14,2,1,3,4
ADD,mutant18,2,1,3,-4
ADD,mutant20,2,1,3,10
ADD,mutant5,2,1,3,-1
ADD,mutant17,2,1,3,-1
ADD,mutant3,2,1,3,-1
ADD,mutant1,2,1,3,-1
ADD,mutant2,2,1,3,-1
ADD,mutant6,9,9,18,20
ADD,mutant4,9,9,18,0
ADD,mutant11,9,9,18,1
ADD,mutant9,9,9,18,-1
ADD,mutant8,9,9,18,-18
ADD,mutant7,9,9,18,16
ADD,mutant13,9,9,18,-1
ADD,mutant15,9,9,18,1
ADD,mutant21,9,9,18,8191
ADD,mutant16,9,9,18,9
ADD,mutant12,9,9,18,36
ADD,mutant19,9,9,18,0
ADD,mutant10,9,9,18,81
ADD,mutant14,9,9,18,6561
ADD,mutant18,9,9,18,-1
ADD,mutant20,9,9,18,9216
ADD,mutant5,9,9,18,-1
ADD,mutant17,9,9,18,0
ADD,mutant3,9,9,18,-1
ADD,mutant1,9,9,18,-1
ADD,mutant2,9,9,18,-1
ADD,mutant6,3,6,9,11
ADD,mutant4,3,6,9,0
ADD,mutant11,3,6,9,0
ADD,mutant9,3,6,9,0
ADD,mutant8,3,6,9,-9
ADD,mutant7,3,6,9,7
ADD,mutant13,3,6,9,-1
ADD,mutant15,3,6,9,0
ADD,mutant21,3,6,9,4194303
ADD,mutant16,3,6,9,2
ADD,mutant12,3,6,9,18
ADD,mutant19,3,6,9,3
ADD,mutant10,3,6,9,18
ADD,mutant14,3,6,9,324
ADD,mutant18,3,6,9,-6
ADD,mutant20,3,6,9,408
ADD,mutant5,3,6,9,-1
ADD,mutant17,3,6,9,-4
ADD,mutant3,3,6,9,-1
ADD,mutant1,3,6,9,-1
ADD,mutant2,3,6,9,-1
ADD,mutant6,9,5,14,16
ADD,mutant4,9,5,14,0
ADD,mutant11,9,5,14,1
ADD,mutant9,9,5,14,0
ADD,mutant8,9,5,14,-14
ADD,mutant7,9,5,14,12
ADD,mutant13,9,5,14,-1
ADD,mutant15,9,5,14,1
ADD,mutant21,9,5,14,131071
ADD,mutant16,9,5,14,1
ADD,mutant12,9,5,14,28
ADD,mutant19,9,5,14,4
ADD,mutant10,9,5,14,45
ADD,mutant14,9,5,14,2025
ADD,mutant18,9,5,14,-13
ADD,mutant20,9,5,14,4768
ADD,mutant5,9,5,14,-1
ADD,mutant17,9,5,14,-4
ADD,mutant3,9,5,14,-1
ADD,mutant1,9,5,14,-1
ADD,mutant2,9,5,14,-1
ADD,mutant6,6,3,9,11
ADD,mutant4,6,3,9,0
ADD,mutant11,6,3,9,2
ADD,mutant9,6,3,9,0
ADD,mutant8,6,3,9,-9
ADD,mutant7,6,3,9,7
ADD,mutant13,6,3,9,-1
ADD,mutant15,6,3,9,2
ADD,mutant21,6,3,9,4194303
ADD,mutant16,6,3,9,2
ADD,mutant12,6,3,9,18
ADD,mutant19,6,3,9,0
ADD,mutant10,6,3,9,18
ADD,mutant14,6,3,9,324
ADD,mutant18,6,3,9,-6
ADD,mutant20,6,3,9,408
ADD,mutant5,6,3,9,-1
ADD,mutant17,6,3,9,-1
ADD,mutant3,6,3,9,-1
ADD,mutant1,6,3,9,-1
ADD,mutant2,6,3,9,-1
ADD,mutant6,9,4,13,15
ADD,mutant4,9,4,13,0
ADD,mutant11,9,4,13,2
ADD,mutant9,9,4,13,0
ADD,mutant8,9,4,13,-13
ADD,mutant7,9,4,13,11
ADD,mutant13,9,4,13,-1
ADD,mutant15,9,4,13,2
ADD,mutant21,9,4,13,262143
ADD,mutant16,9,4,13,0
ADD,mutant12,9,4,13,26
ADD,mutant19,9,4,13,1
ADD,mutant10,9,4,13,36
ADD,mutant14,9,4,13,1296
ADD,mutant18,9,4,13,-14
ADD,mutant20,9,4,13,4672
ADD,mutant5,9,4,13,-1
ADD,mutant17,9,4,13,-4
ADD,mutant3,9,4,13,-1
ADD,mutant1,9,4,13,-1
ADD,mutant2,9,4,13,-1
ADD,mutant6,3,4,7,9
ADD,mutant4,3,4,7,0
ADD,mutant11,3,4,7,0
ADD,mutant9,3,4,7,0
ADD,mutant8,3,4,7,-7
ADD,mutant7,3,4,7,5
ADD,mutant13,3,4,7,-1
ADD,mutant15,3,4,7,0
ADD,mutant21,3,4,7,16777215
ADD,mutant16,3,4,7,0
ADD,mutant12,3,4,7,14
ADD,mutant19,3,4,7,3
ADD,mutant10,3,4,7,12
ADD,mutant14,3,4,7,144
ADD,mutant18,3,4,7,-8
ADD,mutant20,3,4,7,88
ADD,mutant5,3,4,7,-1
ADD,mutant17,3,4,7,-4
ADD,mutant3,3,4,7,-1
ADD,mutant1,3,4,7,-1
ADD,mutant2,3,4,7,-1
ADD,mutant6,0,2,2,4
ADD,mutant4,0,2,2,-1
ADD,mutant11,0,2,2,0
ADD,mutant9,0,2,2,0
ADD,mutant8,0,2,2,-2
ADD,mutant7,0,2,2,0
ADD,mutant13,0,2,2,-1
ADD,mutant15,0,2,2,0
ADD,mutant21,0,2,2,268435455
ADD,mutant16,0,2,2,0
ADD,mutant12,0,2,2,4
ADD,mutant19,0,2,2,0
ADD,mutant10,0,2,2,0
ADD,mutant14,0,2,2,0
ADD,mutant18,0,2,2,-3
ADD,mutant20,0,2,2,9
ADD,mutant5,0,2,2,-1
ADD,mutant17,0,2,2,-2
ADD,mutant3,0,2,2,-1
ADD,mutant1,0,2,2,-1
ADD,mutant2,0,2,2,-1
ADD,mutant6,5,1,6,8
ADD,mutant4,5,1,6,0
ADD,mutant11,5,1,6,5
ADD,mutant9,5,1,6,0
ADD,mutant8,5,1,6,-6
ADD,mutant7,5,1,6,4
ADD,mutant13,5,1,6,-1
ADD,mutant15,5,1,6,5
ADD,mutant21,5,1,6,33554431
ADD,mutant16,5,1,6,1
ADD,mutant12,5,1,6,12
ADD,mutant19,5,1,6,0
ADD,mutant10,5,1,6,5
ADD,mutant14,5,1,6,25
ADD,mutant18,5,1,6,-5
ADD,mutant20,5,1,6,162
ADD,mutant5,5,1,6,-1
ADD,mutant17,5,1,6,0
ADD,mutant3,5,1,6,-1
ADD,mutant1,5,1,6,-1
ADD,mutant2,5,1,6,-1
ADD,mutant6,8,5,13,15
ADD,mutant4,8,5,13,0
ADD,mutant11,8,5,13,1
ADD,mutant9,8,5,13,0
ADD,mutant8,8,5,13,-13
ADD,mutant7,8,5,13,11
ADD,mutant13,8,5,13,-1
ADD,mutant15,8,5,13,1
